Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,9.808777809,0.007776673,-0.369092882,9.815722701
0.017441206,9.814760208,0.002991028,-0.412163705,9.823411109
0.019807977,9.800403595,0.026919255,-0.373878539,9.807569548
0.022174018,9.853045464,-0.006580262,-0.345164657,9.859091583
0.02454032,9.833903313,-0.016151553,-0.321236432,9.83916196
0.026905685,9.843474388,-0.035294134,-0.345164657,9.84958742
0.029271675,9.80997467,0.022133609,-0.335593373,9.815738171
0.031638654,9.819545746,0.022133609,-0.369092882,9.826504877
0.034005112,9.79083252,0.002991028,-0.373878539,9.797968949
0.036371154,9.800403595,-0.016151553,-0.397806764,9.808487229
0.038736831,9.843474388,0.002991028,-0.383449823,9.850940602
0.041102873,9.80997467,0.017347964,-0.38823548,9.817669315
0.043468393,9.79083252,0.007776673,-0.378664196,9.798155361
0.045834018,9.824331284,0.017347964,-0.393021107,9.832204825
0.048200008,9.805189133,-0.001794617,-0.335593373,9.810930642
0.050566466,9.795618057,-0.011365907,-0.402592421,9.803894275
0.052932143,9.814760208,0.002991028,-0.407378048,9.823211479
0.05529782,9.79083252,0.017347964,-0.34037903,9.796762744
0.057663914,9.83868885,0.002991028,-0.330807716,9.844249133
0.060030789,9.79083252,0.017347964,-0.359521598,9.797446512
0.062397456,9.819545746,0.031704899,-0.359521598,9.826176247
0.064763966,9.829116821,0.017347964,-0.326022089,9.834537551
0.0671298,9.824331284,0.031704899,-0.35473597,9.830784708
0.069495633,9.829116821,-0.020937199,-0.378664196,9.83643037
0.071861779,9.786046028,-0.001794617,-0.369092882,9.793004117
0.074228393,9.805189133,0.036490545,-0.393021107,9.813130544
0.076594643,9.814760208,0.007776673,-0.345164657,9.820830772
0.07896105,9.819545746,-0.030508488,-0.316450804,9.824690862
0.081327195,9.829116821,0.002991028,-0.35473597,9.83551646
0.083693029,9.800403595,0.007776673,-0.402592421,9.808672273
0.086059175,9.776474953,0.022133609,-0.383449823,9.784016873
0.088425893,9.78126049,0.002991028,-0.349950314,9.787519142
0.090792352,9.819545746,-0.001794617,-0.402592421,9.827795406
0.09315855,9.800403595,0.036490545,-0.359521598,9.807063677
0.095524383,9.786046028,0.036490545,-0.369092882,9.793071938
0.097890112,9.771689415,0.012562319,-0.378664196,9.779031568
0.100255841,9.824331284,0.012562319,-0.373878539,9.831450968
0.10262157,9.83868885,0.002991028,-0.349950314,9.844910993
0.104987716,9.80997467,0.017347964,-0.349950314,9.816229888
0.107353602,9.833903313,-0.016151553,-0.378664196,9.841204287
0.109719279,9.814760208,0.002991028,-0.378664196,9.822062587
